product_id,date,demand,Description,Group,Brand,CasePerPallet,KgPerCase,ShelfLifeInDays,NetSalesValuePerCase,COGSPerCase,ProfitPerCase,DailyProfit,ShelfLifeLabel,StockMovement,Profitability,Perish,Summer,EventDay
12385000,2019-05-19,131,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,14396900,Long,Fast,A,C3,1,1
12385000,2019-05-20,190,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,20881000,Long,Fast,A,C3,1,0
12385000,2019-05-21,159,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,17474100,Long,Fast,A,C3,1,0
12385000,2019-05-22,281,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,30881900,Long,Fast,A,C3,1,0
12385000,2019-05-23,82,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,9011800,Long,Fast,A,C3,1,0
12385000,2019-05-24,201,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,22089900,Long,Fast,A,C3,1,0
12385000,2019-05-25,274,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,30112600,Long,Fast,A,C3,1,0
12385000,2019-05-26,185,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,20331500,Long,Fast,A,C3,1,0
12385000,2019-05-27,637,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,70006300,Long,Fast,A,C3,1,0
12385000,2019-05-28,236,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,25936400,Long,Fast,A,C3,1,0
12385000,2019-05-29,223,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,24507700,Long,Fast,A,C3,1,0
12385000,2019-05-30,455,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,50004500,Long,Fast,A,C3,1,0
12385000,2019-05-31,271,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,29782900,Long,Fast,A,C3,1,0
12385000,2019-06-01,239,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,26266100,Long,Fast,A,C3,1,1
12385000,2019-06-02,182,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,20001800,Long,Fast,A,C3,1,0
12385000,2019-06-03,81,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,8901900,Long,Fast,A,C3,1,0
12385000,2019-06-04,329,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,36157100,Long,Fast,A,C3,1,0
12385000,2019-06-05,57,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,6264300,Long,Fast,A,C3,1,0
12385000,2019-06-06,131,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,14396900,Long,Fast,A,C3,1,0
12385000,2019-06-07,279,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,30662100,Long,Fast,A,C3,1,0
12385000,2019-06-08,47,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,5165300,Long,Fast,A,C3,1,0
12385000,2019-06-09,186,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,20441400,Long,Fast,A,C3,1,0
12385000,2019-06-10,54,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,5934600,Long,Fast,A,C3,1,0
12385000,2019-06-11,28,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,3077200,Long,Fast,A,C3,1,0
